instrumented PTX in 0.8s; metered kernels: ['fuel_calibrate', 'ivf_pick_centroids', 'ivf_assign', 'ivf_count', 'ivf_scan', 'ivf_scatter', 'kmeans_update', 'ivf_gather']
loaded (1183514, 100) in 0.3s
calibration: {'1': {'raw': 42, 'static_block_total': 21, 'raw_per_thread_over_static': 2.0}, '1024': {'raw': 43008, 'static_block_total': 21, 'raw_per_thread_over_static': 2.0}, '65536': {'raw': 2752512, 'static_block_total': 21, 'raw_per_thread_over_static': 2.0}}
build: n=1183514 dims=100 n_lists=4096 n_train=591757 n_iters=20
          pick_centroids: raw       45,875,200  reported       2,293,760     0.001s
        kmeans_assign[0]: raw 2,491,059,877,280  reported 124,552,993,864     0.731s
           kmeans_csr[0]: raw      100,657,202  reported       5,032,860     0.001s
        kmeans_update[0]: raw    3,300,389,904  reported     165,019,495     0.004s
        kmeans_assign[1]: raw 2,491,059,877,280  reported 124,552,993,864     0.731s
           kmeans_csr[1]: raw      100,657,202  reported       5,032,860     0.001s
        kmeans_update[1]: raw    3,300,699,304  reported     165,034,965     0.002s
        kmeans_assign[2]: raw 2,491,059,877,280  reported 124,552,993,864     0.734s
           kmeans_csr[2]: raw      100,657,202  reported       5,032,860     0.001s
        kmeans_update[2]: raw    3,300,468,304  reported     165,023,415     0.001s
        kmeans_assign[3]: raw 2,491,059,877,280  reported 124,552,993,864     0.734s
           kmeans_csr[3]: raw      100,657,202  reported       5,032,860     0.001s
        kmeans_update[3]: raw    3,300,363,704  reported     165,018,185     0.001s
        kmeans_assign[4]: raw 2,491,059,877,280  reported 124,552,993,864     0.734s
           kmeans_csr[4]: raw      100,657,202  reported       5,032,860     0.001s
        kmeans_update[4]: raw    3,300,793,704  reported     165,039,685     0.001s
        kmeans_assign[5]: raw 2,491,059,877,280  reported 124,552,993,864     0.734s
           kmeans_csr[5]: raw      100,657,202  reported       5,032,860     0.001s
        kmeans_update[5]: raw    3,300,166,504  reported     165,008,325     0.001s
        kmeans_assign[6]: raw 2,491,059,877,280  reported 124,552,993,864     0.734s
           kmeans_csr[6]: raw      100,657,202  reported       5,032,860     0.001s
