corpus	n	n_lists	rc	wall_s	file
sift	250000	1024	0	9	docs/results/index-build-fuel/sift_n250000_nlist1024.json
sift	500000	1024	0	6	docs/results/index-build-fuel/sift_n500000_nlist1024.json
sift	1000000	1024	0	9	docs/results/index-build-fuel/sift_n1000000_nlist1024.json
glove	250000	1024	0	5	docs/results/index-build-fuel/glove_n250000_nlist1024.json
glove	500000	1024	0	7	docs/results/index-build-fuel/glove_n500000_nlist1024.json
glove	1183514	1024	0	9	docs/results/index-build-fuel/glove_n1183514_nlist1024.json
deep	250000	1024	0	5	docs/results/index-build-fuel/deep_n250000_nlist1024.json
deep	1000000	1024	0	8	docs/results/index-build-fuel/deep_n1000000_nlist1024.json
deep	4000000	1024	0	20	docs/results/index-build-fuel/deep_n4000000_nlist1024.json
deep	9990000	1024	0	47	docs/results/index-build-fuel/deep_n9990000_nlist1024.json
sift	250000	4096	0	12	docs/results/index-build-fuel/sift_n250000_nlist4096.json
sift	500000	4096	0	13	docs/results/index-build-fuel/sift_n500000_nlist4096.json
sift	1000000	4096	0	22	docs/results/index-build-fuel/sift_n1000000_nlist4096.json
glove	250000	4096	0	8	docs/results/index-build-fuel/glove_n250000_nlist4096.json
glove	500000	4096	0	11	docs/results/index-build-fuel/glove_n500000_nlist4096.json
glove	1183514	4096	0	21	docs/results/index-build-fuel/glove_n1183514_nlist4096.json
deep	250000	4096	0	8	docs/results/index-build-fuel/deep_n250000_nlist4096.json
deep	1000000	4096	0	17	docs/results/index-build-fuel/deep_n1000000_nlist4096.json
deep	4000000	4096	0	60	docs/results/index-build-fuel/deep_n4000000_nlist4096.json
deep	9990000	4096	0	141	docs/results/index-build-fuel/deep_n9990000_nlist4096.json
deep	1000000	16384	0	62	docs/results/index-build-fuel/deep_n1000000_nlist16384.json
deep	9990000	16384	1	584	docs/results/index-build-fuel/deep_n9990000_nlist16384.json
