instrumented PTX in 0.7s; metered kernels: ['fuel_calibrate', 'ivf_pick_centroids', 'ivf_assign', 'ivf_count', 'ivf_scan', 'ivf_scatter', 'kmeans_update', 'ivf_gather']
loaded (1000000, 128) in 0.0s
calibration: {'1': {'raw': 42, 'static_block_total': 21, 'raw_per_thread_over_static': 2.0}, '1024': {'raw': 43008, 'static_block_total': 21, 'raw_per_thread_over_static': 2.0}, '65536': {'raw': 2752512, 'static_block_total': 21, 'raw_per_thread_over_static': 2.0}}
build: n=1000000 dims=128 n_lists=4096 n_train=500000 n_iters=20
          pick_centroids: raw       58,720,256  reported       2,936,012     0.001s
        kmeans_assign[0]: raw 2,678,817,000,000  reported 133,940,850,000     0.791s
           kmeans_csr[0]: raw       85,077,042  reported       4,253,852     0.001s
        kmeans_update[0]: raw    3,575,365,120  reported     178,768,256     0.001s
        kmeans_assign[1]: raw 2,678,817,000,000  reported 133,940,850,000     0.782s
           kmeans_csr[1]: raw       85,077,042  reported       4,253,852     0.001s
        kmeans_update[1]: raw    3,574,941,184  reported     178,747,059     0.001s
        kmeans_assign[2]: raw 2,678,817,000,000  reported 133,940,850,000     0.787s
           kmeans_csr[2]: raw       85,077,042  reported       4,253,852     0.001s
        kmeans_update[2]: raw    3,574,557,440  reported     178,727,872     0.001s
        kmeans_assign[3]: raw 2,678,817,000,000  reported 133,940,850,000     0.787s
           kmeans_csr[3]: raw       85,077,042  reported       4,253,852     0.001s
        kmeans_update[3]: raw    3,575,102,464  reported     178,755,123     0.001s
        kmeans_assign[4]: raw 2,678,817,000,000  reported 133,940,850,000     0.787s
           kmeans_csr[4]: raw       85,077,042  reported       4,253,852     0.001s
        kmeans_update[4]: raw    3,574,803,712  reported     178,740,185     0.001s
        kmeans_assign[5]: raw 2,678,817,000,000  reported 133,940,850,000     0.787s
           kmeans_csr[5]: raw       85,077,042  reported       4,253,852     0.001s
        kmeans_update[5]: raw    3,575,246,848  reported     178,762,342     0.001s
        kmeans_assign[6]: raw 2,678,817,000,000  reported 133,940,850,000     0.787s
           kmeans_csr[6]: raw       85,077,042  reported       4,253,852     0.001s
        kmeans_update[6]: raw    3,574,874,880  reported     178,743,744     0.001s
        kmeans_assign[7]: raw 2,678,817,000,000  reported 133,940,850,000     0.787s
           kmeans_csr[7]: raw       85,077,042  reported       4,253,852     0.001s
        kmeans_update[7]: raw    3,575,458,048  reported     178,772,902     0.001s
